Input Page, Recognition Accuracy, Ground truth size, OCR output size, # of substitutions, # of insertions, # of deletions
Kan_217_P024, 84.88, 344, 347, 47, 4, 1
Kan_261_P220, 69.52, 210, 212, 60, 3, 1
Kan_217_P013, 71.2, 184, 195, 42, 11, 0
Kan_202_P109, 65.35, 202, 200, 62, 3, 5
Kan_034_P047, 88.76, 178, 179, 19, 1, 0
Kan_046_P138, 87.3, 189, 189, 20, 2, 2
Kan_212_P231, 79.74, 232, 234, 37, 6, 4
Kan_344_P060, 80, 215, 215, 41, 1, 1
Kan_167_P186, 75.88, 170, 171, 38, 2, 1
Kan_344_P305, 82.65, 219, 220, 37, 1, 0
Kan_219_P203, 55.45, 211, 214, 89, 4, 1
Kan_348_P030, 77.35, 181, 177, 33, 2, 6
Kan_213_P036, 76.5, 217, 224, 44, 7, 0
Kan_167_P100, 80.7, 171, 168, 26, 2, 5
Kan_169_P026, 73.1, 316, 346, 47, 34, 4
Kan_344_P217, 82.47, 194, 194, 32, 1, 1
Kan_165_P020, 86, 50, 49, 6, 0, 1
Kan_165_P074, 94.74, 76, 76, 4, 0, 0
Kan_169_P170, 75.25, 101, 109, 15, 9, 1
Kan_259_P082, 58.91, 129, 138, 44, 9, 0
Kan_179_P105, 85.53, 235, 234, 31, 1, 2
Kan_179_P102, 80.62, 227, 223, 38, 1, 5
Kan_344_P242, 80.45, 179, 180, 34, 1, 0
Kan_035_P027, 89.14, 313, 311, 28, 2, 4
Kan_167_P179, 77.84, 185, 187, 37, 3, 1
Kan_261_P166, 70.97, 124, 126, 30, 4, 2
Kan_167_P051, 76.83, 164, 164, 36, 1, 1
Kan_344_P130, 79.36, 218, 218, 45, 0, 0
Kan_216_P104, 86.58, 298, 300, 38, 2, 0
Kan_350_P190, 64.08, 142, 157, 36, 15, 0
Kan_347_P164, 76.32, 190, 194, 39, 5, 1
Kan_178_P035, 75.71, 140, 141, 33, 1, 0
Kan_344_P249, 87.12, 233, 232, 29, 0, 1
Kan_035_P124, 79.11, 292, 290, 55, 2, 4
Kan_034_P083, 70.26, 232, 231, 64, 2, 3
Kan_213_P083, 67.58, 219, 234, 56, 15, 0
Kan_166_P124, 74.55, 110, 107, 23, 1, 4
Kan_214_P078, 89.07, 247, 248, 24, 2, 1
Kan_213_P268, 70.87, 206, 215, 51, 9, 0
Kan_347_P064, 76.77, 198, 198, 46, 0, 0
